Airport,Date,Visibility (miles),Ceiling (feet),Flight Rules
ATL,1/1/2024 0:52,10,25000,VFR
ATL,1/1/2024 1:52,10,25000,VFR
ATL,1/1/2024 2:52,10,20000,VFR
ATL,1/1/2024 3:52,10,22000,VFR
ATL,1/1/2024 4:52,10,22000,VFR
ATL,1/1/2024 5:52,10,22000,VFR
ATL,1/1/2024 6:52,10,22000,VFR
ATL,1/1/2024 7:52,10,22000,VFR
ATL,1/1/2024 8:52,10,18000,VFR
ATL,1/1/2024 9:52,10,18000,VFR
ATL,1/1/2024 10:52,10,20000,VFR
ATL,1/1/2024 11:52,10,15000,VFR
ATL,1/1/2024 12:52,10,15000,VFR
ATL,1/1/2024 13:52,10,15000,VFR
ATL,1/1/2024 14:52,10,15000,VFR
ATL,1/1/2024 15:52,10,14000,VFR
ATL,1/1/2024 16:52,10,3200,VFR
ATL,1/1/2024 17:52,10,11000,VFR
ATL,1/1/2024 18:52,10,18000,VFR
ATL,1/1/2024 19:52,10,4800,VFR
ATL,1/2/2024 16:52,10,25000,VFR
ATL,1/2/2024 17:52,10,25000,VFR
ATL,1/2/2024 18:52,10,25000,VFR
ATL,1/2/2024 19:52,10,25000,VFR
ATL,1/2/2024 20:52,10,20000,VFR
ATL,1/2/2024 21:52,10,20000,VFR
ATL,1/2/2024 22:52,10,20000,VFR
ATL,1/2/2024 23:52,10,20000,VFR
ATL,1/3/2024 0:52,10,20000,VFR
ATL,1/3/2024 1:52,10,20000,VFR
ATL,1/3/2024 2:52,10,20000,VFR
ATL,1/3/2024 3:52,10,20000,VFR
ATL,1/3/2024 4:52,10,20000,VFR
ATL,1/3/2024 5:52,10,20000,VFR
ATL,1/3/2024 6:52,10,20000,VFR
ATL,1/3/2024 7:52,10,20000,VFR
ATL,1/3/2024 8:52,10,20000,VFR
ATL,1/3/2024 9:52,10,20000,VFR
ATL,1/3/2024 10:52,10,20000,VFR
ATL,1/3/2024 11:52,10,20000,VFR
ATL,1/3/2024 12:52,10,18000,VFR
ATL,1/3/2024 13:52,10,15000,VFR
ATL,1/3/2024 14:52,10,15000,VFR
ATL,1/3/2024 15:52,10,13000,VFR
ATL,1/3/2024 16:52,10,11000,VFR
ATL,1/3/2024 17:52,10,11000,VFR
ATL,1/3/2024 18:52,10,7500,VFR
ATL,1/3/2024 19:52,10,7000,VFR
ATL,1/3/2024 20:52,10,5500,VFR
ATL,1/3/2024 21:52,8,4200,VFR
ATL,1/3/2024 22:52,9,3600,VFR
ATL,1/3/2024 23:52,10,4500,VFR
ATL,1/4/2024 0:52,10,7500,VFR
ATL,1/4/2024 1:52,10,5500,VFR
ATL,1/4/2024 2:52,10,5500,VFR
ATL,1/4/2024 3:52,10,5500,VFR
ATL,1/4/2024 4:52,10,6500,VFR
ATL,1/4/2024 5:52,10,6500,VFR
ATL,1/4/2024 6:52,10,20000,VFR
ATL,1/5/2024 12:52,10,25000,VFR
ATL,1/5/2024 13:52,10,25000,VFR
ATL,1/5/2024 14:52,10,25000,VFR
ATL,1/5/2024 15:52,10,25000,VFR
ATL,1/5/2024 16:52,10,25000,VFR
ATL,1/5/2024 17:52,10,25000,VFR
ATL,1/5/2024 18:52,10,20000,VFR
ATL,1/5/2024 19:52,10,3500,VFR
ATL,1/5/2024 20:52,10,3500,VFR
ATL,1/5/2024 21:52,10,3500,VFR
ATL,1/5/2024 22:52,10,3200,VFR
ATL,1/5/2024 23:52,10,3500,VFR
ATL,1/6/2024 0:52,10,3500,VFR
ATL,1/6/2024 1:52,10,3200,VFR
ATL,1/6/2024 2:31,10,2800,MVFR
ATL,1/6/2024 2:52,10,2400,MVFR
ATL,1/6/2024 3:52,6,1900,MVFR
ATL,1/6/2024 4:52,4,2000,MVFR
ATL,1/6/2024 5:52,3,2000,MVFR
ATL,1/6/2024 6:20,2.5,1900,MVFR
ATL,1/6/2024 6:22,2.5,800,IFR
ATL,1/6/2024 6:34,3,800,VFR
ATL,1/6/2024 6:52,3,800,VFR
ATL,1/6/2024 7:04,2.5,800,IFR
ATL,1/6/2024 7:19,3,600,VFR
ATL,1/6/2024 7:52,4,600,VFR
ATL,1/6/2024 8:52,2.5,500,IFR
ATL,1/6/2024 8:57,5,500,VFR
ATL,1/6/2024 9:52,4,500,VFR
ATL,1/6/2024 10:01,4,400,IFR
ATL,1/6/2024 10:52,5,400,IFR
ATL,1/6/2024 11:52,6,400,IFR
ATL,1/6/2024 12:52,1.5,400,IFR
ATL,1/6/2024 13:52,1.5,400,IFR
ATL,1/6/2024 14:52,1.5,400,IFR
ATL,1/6/2024 15:52,1.5,400,IFR
ATL,1/6/2024 16:52,1.25,400,IFR
ATL,1/6/2024 17:52,1.25,400,IFR
ATL,1/6/2024 18:52,1.25,400,IFR
ATL,1/6/2024 19:04,2,500,IFR
ATL,1/6/2024 19:52,6,600,MVFR
ATL,1/6/2024 20:37,7,800,MVFR
ATL,1/6/2024 20:52,9,800,MVFR
ATL,1/6/2024 21:11,9,1000,MVFR
ATL,1/6/2024 21:33,9,1000,MVFR
ATL,1/6/2024 21:52,9,1100,MVFR
ATL,1/6/2024 22:02,10,1100,MVFR
ATL,1/6/2024 22:39,10,1100,MVFR
ATL,1/6/2024 22:52,10,1100,MVFR
ATL,1/6/2024 23:50,10,1000,MVFR
ATL,1/6/2024 23:52,10,1000,MVFR
ATL,1/7/2024 0:52,10,1000,MVFR
ATL,1/7/2024 1:44,10,1000,MVFR
ATL,1/7/2024 1:52,10,1000,MVFR
ATL,1/7/2024 2:52,10,2900,MVFR
ATL,1/7/2024 3:52,10,2900,MVFR
ATL,1/7/2024 4:52,10,1700,MVFR
ATL,1/7/2024 5:52,10,1700,MVFR
ATL,1/7/2024 6:52,10,1800,MVFR
ATL,1/7/2024 7:52,10,1500,MVFR
ATL,1/7/2024 8:52,10,1900,MVFR
ATL,1/7/2024 9:52,10,1900,MVFR
ATL,1/7/2024 10:52,10,2200,MVFR
ATL,1/7/2024 11:07,10,1900,MVFR
ATL,1/7/2024 11:52,10,1900,MVFR
ATL,1/7/2024 12:52,10,1900,MVFR
ATL,1/7/2024 13:42,10,1900,MVFR
ATL,1/7/2024 13:52,10,1900,MVFR
ATL,1/7/2024 14:52,10,1800,MVFR
ATL,1/7/2024 15:52,10,2300,MVFR
ATL,1/7/2024 16:52,10,2800,MVFR
ATL,1/7/2024 17:11,10,3000,MVFR
ATL,1/7/2024 17:52,10,3300,VFR
ATL,1/7/2024 18:52,10,3800,VFR
ATL,1/7/2024 19:52,10,3800,VFR
ATL,1/7/2024 20:52,10,4100,VFR
ATL,1/7/2024 21:52,10,4000,VFR
ATL,1/7/2024 22:52,10,4000,VFR
ATL,1/7/2024 23:52,10,4000,VFR
ATL,1/8/2024 0:52,10,20000,VFR
ATL,1/8/2024 1:52,10,25000,VFR
ATL,1/8/2024 2:52,10,25000,VFR
ATL,1/8/2024 3:52,10,25000,VFR
ATL,1/8/2024 4:52,10,25000,VFR
ATL,1/8/2024 5:52,10,25000,VFR
ATL,1/8/2024 6:52,10,25000,VFR
ATL,1/8/2024 7:52,10,25000,VFR
ATL,1/8/2024 8:52,10,25000,VFR
ATL,1/8/2024 9:52,10,25000,VFR
ATL,1/8/2024 10:52,10,18000,VFR
ATL,1/8/2024 11:52,10,18000,VFR
ATL,1/8/2024 12:52,10,16000,VFR
ATL,1/8/2024 13:52,10,11000,VFR
ATL,1/8/2024 14:52,10,10000,VFR
ATL,1/8/2024 15:45,10,100,IFR
ATL,1/8/2024 15:52,10,100,IFR
ATL,1/8/2024 16:52,10,11000,VFR
ATL,1/8/2024 17:52,10,12000,VFR
ATL,1/8/2024 18:52,10,11000,VFR
ATL,1/8/2024 19:52,10,14000,VFR
ATL,1/8/2024 20:52,10,3800,VFR
ATL,1/8/2024 21:52,10,3200,VFR
ATL,1/8/2024 22:10,10,2800,MVFR
ATL,1/8/2024 22:52,10,2800,MVFR
ATL,1/8/2024 23:52,10,2600,MVFR
ATL,1/9/2024 0:52,10,2400,MVFR
ATL,1/9/2024 1:52,7,2500,MVFR
ATL,1/9/2024 2:52,6,2200,MVFR
ATL,1/9/2024 3:20,3,900,VFR
ATL,1/9/2024 3:36,4,800,VFR
ATL,1/9/2024 3:52,5,700,VFR
ATL,1/9/2024 4:11,6,700,MVFR
ATL,1/9/2024 4:52,5,600,VFR
ATL,1/9/2024 5:25,2.5,600,IFR
ATL,1/9/2024 5:35,3,600,VFR
ATL,1/9/2024 5:52,2.5,600,IFR
ATL,1/9/2024 6:03,3,600,VFR
ATL,1/9/2024 6:52,6,500,MVFR
ATL,1/9/2024 7:03,6,500,MVFR
ATL,1/9/2024 7:22,6,400,IFR
ATL,1/9/2024 7:52,6,400,IFR
ATL,1/9/2024 8:22,6,400,IFR
ATL,1/9/2024 8:26,2,400,IFR
ATL,1/9/2024 8:46,2,400,IFR
ATL,1/9/2024 8:52,2,400,IFR
ATL,1/9/2024 9:52,2,400,IFR
ATL,1/9/2024 10:13,2,400,IFR
ATL,1/9/2024 10:40,1,400,IFR
ATL,1/9/2024 10:52,1,400,IFR
ATL,1/9/2024 11:22,1,400,IFR
ATL,1/9/2024 11:30,1,400,IFR
ATL,1/9/2024 11:52,1,400,IFR
ATL,1/9/2024 12:00,1,400,IFR
ATL,1/9/2024 12:09,1,400,IFR
ATL,1/9/2024 12:30,1,1900,MVFR
ATL,1/9/2024 12:44,1,400,IFR
ATL,1/9/2024 13:21,1,300,IFR
ATL,1/9/2024 13:30,1,300,IFR
ATL,1/9/2024 13:33,1,500,IFR
ATL,1/9/2024 13:41,1,300,IFR
ATL,1/9/2024 13:52,1,300,IFR
ATL,1/9/2024 13:58,1,500,IFR
ATL,1/9/2024 14:15,3,600,VFR
ATL,1/9/2024 14:52,3,600,VFR
ATL,1/9/2024 15:31,2.5,800,IFR
ATL,1/9/2024 15:40,3,300,IFR
ATL,1/9/2024 15:52,3,600,VFR
ATL,1/9/2024 16:06,3,700,VFR
ATL,1/9/2024 16:31,3,600,VFR
ATL,1/9/2024 16:52,3,600,VFR
ATL,1/9/2024 17:23,0.5,4400,MVFR
ATL,1/9/2024 17:25,0.5,600,IFR
ATL,1/9/2024 17:42,0.5,300,LIFR
ATL,1/9/2024 17:52,2,400,IFR
ATL,1/9/2024 18:03,7,600,MVFR
ATL,1/9/2024 18:18,10,800,MVFR
ATL,1/9/2024 18:22,10,800,MVFR
ATL,1/9/2024 18:38,10,1200,MVFR
ATL,1/9/2024 18:52,10,1800,MVFR
ATL,1/9/2024 19:52,10,2600,MVFR
ATL,1/9/2024 20:52,10,3200,VFR
ATL,1/9/2024 21:52,10,3600,VFR
ATL,1/9/2024 22:52,10,3500,VFR
ATL,1/9/2024 23:52,10,3700,VFR
ATL,1/10/2024 0:52,10,3800,VFR
ATL,1/10/2024 1:52,10,3500,VFR
ATL,1/10/2024 2:52,10,3000,MVFR
ATL,1/10/2024 3:52,10,3200,VFR
ATL,1/10/2024 4:52,10,3700,VFR
ATL,1/10/2024 5:52,10,3700,VFR
ATL,1/10/2024 6:52,10,3900,VFR
ATL,1/10/2024 7:52,10,3700,VFR
ATL,1/10/2024 8:52,10,3400,VFR
ATL,1/10/2024 9:52,10,3300,VFR
ATL,1/10/2024 10:52,10,3100,VFR
ATL,1/10/2024 11:50,10,2900,MVFR
ATL,1/10/2024 11:52,10,2900,MVFR
ATL,1/10/2024 12:52,10,2800,MVFR
ATL,1/10/2024 13:52,10,2700,MVFR
ATL,1/10/2024 14:12,10,3000,MVFR
ATL,1/10/2024 14:52,10,2800,MVFR
ATL,1/10/2024 15:52,10,3000,MVFR
ATL,1/10/2024 16:52,10,3200,VFR
ATL,1/10/2024 17:52,10,3600,VFR
ATL,1/10/2024 18:52,10,4400,VFR
ATL,1/10/2024 19:52,10,20000,VFR
ATL,1/10/2024 20:52,10,20000,VFR
ATL,1/10/2024 21:52,10,20000,VFR
ATL,1/10/2024 22:52,10,20000,VFR
ATL,1/10/2024 23:52,10,25000,VFR
ATL,1/11/2024 0:52,10,25000,VFR
ATL,1/11/2024 1:52,10,25000,VFR
ATL,1/11/2024 2:52,10,25000,VFR
ATL,1/11/2024 3:52,10,25000,VFR
ATL,1/11/2024 4:52,10,25000,VFR
ATL,1/11/2024 5:52,10,25000,VFR
ATL,1/11/2024 6:52,10,25000,VFR
ATL,1/11/2024 7:52,10,25000,VFR
ATL,1/11/2024 8:52,10,25000,VFR
ATL,1/11/2024 9:52,10,25000,VFR
ATL,1/11/2024 10:52,10,25000,VFR
ATL,1/11/2024 11:52,10,25000,VFR
ATL,1/11/2024 12:52,10,25000,VFR
ATL,1/11/2024 13:52,10,25000,VFR
ATL,1/11/2024 14:52,10,20000,VFR
ATL,1/11/2024 15:52,10,20000,VFR
ATL,1/11/2024 16:52,10,20000,VFR
ATL,1/11/2024 17:52,10,4000,VFR
ATL,1/11/2024 18:52,10,4400,VFR
ATL,1/11/2024 19:52,10,5000,VFR
ATL,1/11/2024 20:52,10,20000,VFR
ATL,1/11/2024 21:52,10,20000,VFR
ATL,1/11/2024 22:52,10,20000,VFR
ATL,1/11/2024 23:52,10,25000,VFR
ATL,1/12/2024 6:52,10,25000,VFR
ATL,1/12/2024 7:52,10,25000,VFR
ATL,1/12/2024 8:52,10,25000,VFR
ATL,1/12/2024 9:52,10,6500,VFR
ATL,1/12/2024 10:52,10,6500,VFR
ATL,1/12/2024 11:52,10,7000,VFR
ATL,1/12/2024 12:52,10,7000,VFR
ATL,1/12/2024 13:52,10,5500,VFR
ATL,1/12/2024 14:52,10,5500,VFR
ATL,1/12/2024 15:39,10,2100,MVFR
ATL,1/12/2024 15:52,10,1900,MVFR
ATL,1/12/2024 16:06,7,2200,MVFR
ATL,1/12/2024 16:21,8,1800,MVFR
ATL,1/12/2024 16:52,10,1700,MVFR
ATL,1/12/2024 17:09,10,1600,MVFR
ATL,1/12/2024 17:33,7,1300,MVFR
ATL,1/12/2024 17:52,9,1200,MVFR
ATL,1/12/2024 18:08,9,900,MVFR
ATL,1/12/2024 18:52,3,500,VFR
ATL,1/12/2024 18:57,2,400,IFR
ATL,1/12/2024 19:47,1,300,IFR
ATL,1/12/2024 19:52,1.5,300,IFR
ATL,1/12/2024 19:59,2.5,400,IFR
ATL,1/12/2024 20:04,1.5,400,IFR
ATL,1/12/2024 20:17,1.5,400,IFR
ATL,1/12/2024 20:52,1.5,400,IFR
ATL,1/12/2024 21:30,2,500,IFR
ATL,1/12/2024 21:52,2,500,IFR
ATL,1/12/2024 21:59,2,400,IFR
ATL,1/12/2024 22:52,2,400,IFR
ATL,1/12/2024 23:43,2,400,IFR
ATL,1/12/2024 23:52,2,400,IFR
ATL,1/12/2024 23:57,9,400,IFR
ATL,1/13/2024 0:52,9,400,IFR
ATL,1/13/2024 1:52,10,5500,VFR
ATL,1/13/2024 2:52,10,7000,VFR
ATL,1/13/2024 3:52,10,7000,VFR
ATL,1/13/2024 4:52,10,25000,VFR
ATL,1/13/2024 5:52,10,2500,MVFR
ATL,1/13/2024 6:52,10,2500,MVFR
ATL,1/13/2024 7:52,10,2500,MVFR
ATL,1/13/2024 8:52,10,2500,MVFR
ATL,1/13/2024 9:52,10,2500,MVFR
ATL,1/13/2024 10:52,10,2500,MVFR
ATL,1/13/2024 11:52,10,2000,MVFR
ATL,1/13/2024 12:52,10,2000,MVFR
ATL,1/13/2024 13:52,10,2400,MVFR
ATL,1/13/2024 14:52,10,2500,MVFR
ATL,1/13/2024 15:52,10,20000,VFR
ATL,1/13/2024 16:52,10,3300,VFR
ATL,1/13/2024 17:52,10,20000,VFR
ATL,1/13/2024 18:52,10,20000,VFR
ATL,1/13/2024 19:52,10,20000,VFR
ATL,1/13/2024 20:52,10,20000,VFR
ATL,1/13/2024 21:52,10,20000,VFR
ATL,1/13/2024 22:52,10,20000,VFR
ATL,1/13/2024 23:52,10,25000,VFR
ATL,1/14/2024 0:52,10,20000,VFR
ATL,1/14/2024 1:52,10,20000,VFR
ATL,1/14/2024 2:52,10,20000,VFR
ATL,1/14/2024 3:52,10,20000,VFR
ATL,1/14/2024 4:52,10,20000,VFR
ATL,1/14/2024 5:52,10,20000,VFR
ATL,1/14/2024 6:52,10,20000,VFR
ATL,1/14/2024 7:52,10,20000,VFR
ATL,1/14/2024 8:52,10,20000,VFR
ATL,1/14/2024 9:52,10,20000,VFR
ATL,1/14/2024 10:52,10,20000,VFR
ATL,1/14/2024 11:52,10,20000,VFR
ATL,1/14/2024 12:52,10,20000,VFR
ATL,1/14/2024 13:52,10,20000,VFR
ATL,1/14/2024 17:52,10,20000,VFR
ATL,1/14/2024 18:52,10,5500,VFR
ATL,1/14/2024 19:52,10,4200,VFR
ATL,1/14/2024 20:52,10,4800,VFR
ATL,1/14/2024 21:52,10,6000,VFR
ATL,1/14/2024 22:52,10,200,IFR
ATL,1/14/2024 23:52,10,4500,VFR
ATL,1/15/2024 0:52,10,19000,VFR
ATL,1/15/2024 1:52,10,10000,VFR
ATL,1/15/2024 2:52,10,19000,VFR
ATL,1/15/2024 3:52,10,17000,VFR
ATL,1/15/2024 4:52,10,15000,VFR
ATL,1/15/2024 5:52,10,17000,VFR
ATL,1/15/2024 6:52,10,10000,VFR
ATL,1/15/2024 7:52,10,10000,VFR
ATL,1/15/2024 8:52,10,18000,VFR
ATL,1/15/2024 9:52,10,18000,VFR
ATL,1/15/2024 10:52,10,6500,VFR
ATL,1/15/2024 11:52,10,6500,VFR
ATL,1/15/2024 12:52,10,6500,VFR
ATL,1/15/2024 13:52,10,6500,VFR
ATL,1/15/2024 14:52,10,6500,VFR
ATL,1/15/2024 15:52,10,6000,VFR
ATL,1/15/2024 16:52,10,6500,VFR
ATL,1/15/2024 17:52,10,6500,VFR
ATL,1/15/2024 18:52,10,6500,VFR
ATL,1/15/2024 19:52,10,7000,VFR
ATL,1/15/2024 20:52,10,15000,VFR
ATL,1/15/2024 21:52,10,8000,VFR
ATL,1/15/2024 22:52,10,7500,VFR
ATL,1/15/2024 23:52,10,6000,VFR
ATL,1/16/2024 0:52,10,6000,VFR
ATL,1/16/2024 1:52,10,6000,VFR
ATL,1/16/2024 2:52,10,6000,VFR
ATL,1/16/2024 3:52,10,5000,VFR
ATL,1/16/2024 4:52,10,4200,VFR
ATL,1/16/2024 5:52,10,5000,VFR
ATL,1/16/2024 6:52,8,2900,MVFR
ATL,1/16/2024 7:52,8,3000,MVFR
ATL,1/16/2024 8:52,10,3000,MVFR
